,apple_total_sleep,eight_total_sleep,apple_deep,eight_deep,apple_rem,eight_rem,apple_core,eight_core,apple_awake,eight_awake
2025-07-15,315.5,328.5,39.0,26.0,85.5,52.5,191.0,250.0,14.0,2.5
2025-07-16,428.5,406.5,27.5,57.5,93.0,97.0,308.0,252.0,18.0,65.5
2025-07-17,393.5,514.0,52.5,53.0,66.5,80.0,274.5,381.0,9.5,21.0
2025-07-20,465.5,422.5,43.5,65.5,100.5,44.5,321.5,312.5,4.5,72.5
2025-07-21,295.5,299.5,26.0,79.0,50.5,46.0,219.0,174.5,5.5,23.5
2025-07-22,371.5,383.0,15.5,73.5,41.5,64.0,314.5,245.5,30.0,85.0
2025-07-23,336.0,424.0,45.5,77.5,42.0,91.0,248.5,255.5,5.5,46.0
2025-07-24,389.0,430.0,56.5,58.5,81.0,146.5,251.5,225.0,6.5,34.0
2025-07-25,430.0,449.5,22.0,70.0,97.0,118.5,311.0,261.0,6.5,25.5
2025-07-26,343.5,284.0,35.0,35.5,67.5,65.5,241.0,183.0,63.5,111.0
2025-07-27,332.0,409.5,54.5,96.0,90.0,71.0,187.5,242.5,5.0,97.5
2025-07-28,405.0,441.0,24.0,73.0,94.0,79.0,287.0,289.0,9.0,40.0
2025-07-29,386.5,374.0,43.5,67.0,82.5,89.0,260.5,218.0,20.5,102.0
2025-07-30,409.5,362.0,33.5,44.0,78.5,79.5,297.5,238.5,17.5,125.0
2025-07-31,364.0,407.0,36.5,60.5,83.0,134.5,244.5,212.0,14.0,59.0
2025-08-01,361.5,357.0,54.0,58.0,60.5,62.5,247.0,236.5,25.0,101.0
2025-08-02,498.0,535.5,42.0,40.5,96.0,131.0,360.0,364.0,20.0,24.5
2025-08-04,467.5,444.5,36.5,122.0,71.5,72.5,359.5,250.0,25.5,97.5
2025-08-05,433.0,433.0,12.5,83.0,95.5,111.5,325.0,238.5,1.0,73.0
2025-08-06,384.0,354.0,14.0,12.5,78.0,92.5,292.0,249.0,5.5,137.0
2025-08-07,364.0,382.5,31.5,34.5,79.0,116.0,253.5,232.0,16.0,54.5
2025-08-08,389.0,856.0,24.0,160.0,84.0,117.0,281.0,579.0,17.5,101.0
2025-08-09,482.5,498.0,27.5,63.0,93.5,91.0,361.5,344.0,0.5,30.0
2025-08-10,335.5,491.0,27.0,138.5,29.5,82.0,279.0,270.5,97.5,58.0
2025-08-11,360.0,396.5,17.5,49.0,74.5,105.5,268.0,242.0,7.0,88.5
2025-08-12,351.0,474.0,36.5,68.0,27.5,108.5,287.0,297.5,17.5,28.0
2025-08-14,353.0,255.0,45.0,12.5,46.5,32.0,261.5,210.5,12.0,341.0
2025-08-15,246.0,234.0,33.0,41.5,40.0,52.0,173.0,140.5,3.0,75.0
2025-08-24,349.0,364.5,31.0,54.0,32.0,45.0,286.0,265.5,18.0,77.5
2025-08-25,350.0,282.0,26.5,0.0,71.5,79.0,252.0,203.0,7.0,244.0
2025-08-26,418.0,393.5,54.0,103.0,96.0,47.5,268.0,243.0,0.5,72.5
2025-08-27,342.0,317.0,56.5,63.5,88.5,62.0,197.0,191.5,4.5,45.0
2025-08-28,330.0,318.0,15.0,6.0,53.5,55.0,261.5,257.0,5.0,171.0
2025-08-30,392.5,400.5,49.5,70.0,91.5,78.5,251.5,252.0,27.0,54.5
2025-09-01,438.5,470.5,54.5,74.0,110.0,76.5,274.0,320.0,6.5,37.5
2025-09-02,371.5,402.0,48.5,43.5,27.5,57.0,295.5,301.5,25.0,51.0
2025-09-03,400.0,442.5,24.0,42.0,119.0,96.5,257.0,304.0,13.5,13.5
2025-09-04,345.5,481.5,29.0,45.5,49.5,97.0,267.0,339.0,62.5,0.5
2025-09-05,447.0,44.0,40.0,2.0,92.5,26.5,314.5,15.5,17.5,4.0
2025-09-12,400.5,479.5,41.5,26.0,69.5,79.0,289.5,374.5,13.5,83.5
2025-09-14,409.0,417.0,33.5,66.0,93.5,32.0,282.0,319.0,15.5,48.0
2025-09-15,352.19999999999993,437.5,34.31666666666666,22.0,102.5,123.5,215.38333333333333,292.0,1.0,14.5
2025-09-17,269.13333333333327,539.0,31.333333333333336,90.0,44.78333333333333,84.5,193.01666666666668,364.5,16.416666666666668,34.0
2025-09-18,255.7,381.5,37.8,51.0,59.7,94.0,158.2,236.5,13.933333333333334,88.5
2025-09-19,493.4666666666667,88.0,36.31666666666666,1.5,155.2,48.5,301.95,38.0,10.933333333333334,68.0
2025-09-21,467.6,72.5,34.333333333333336,21.5,104.46666666666667,10.0,328.8,41.0,13.416666666666668,77.5
2025-09-22,303.91666666666663,382.5,51.233333333333334,81.0,68.65,57.5,184.03333333333333,244.0,37.333333333333336,64.5
2025-09-23,386.01666666666665,437.5,51.266666666666666,44.5,63.68333333333334,89.0,271.06666666666666,304.0,14.433333333333334,30.0
